value,gas,gasPrice,fee
0.0,11000000,22.721091641,249932008.051
0.0,1119816,23.221091641,26003349.957058057
0.0,1856348,21.771091641,40414722.42558707
0.06997000000000002,100000,22.721091641,2272109.1641
0.0,220436,23.721091641,5228982.556975476
0.83468897,207128,23.721091641,4913302.269417048
0.0,207128,23.721091641,4913302.269417048
0.0,668064,21.771091641,14544482.566053025
0.08,21000,555.0,11655000.0
0.04,280382,24.721091641,6931349.116486862
29.9982,105000,31.721091641,3330714.622305
0.75,129283,24.221091641,3131375.3906234032
0.0,412771,21.821091641,9007113.817747211
0.0,373244,21.821091641,8144591.528453403
0.0,164134,22.021091641,3614409.855403894
0.0,257440,23.721091641,6106757.832059041
0.0,284153,27.821091641,7905446.653065072
0.0,300014,22.721091641,6816645.587582975
0.0,320027,21.821091641,6983338.494594307
0.132517,90000,21.771091641,1959398.24769
0.07,233750,23.721091641,5544805.17108375
0.9,131069,22.021091641,2886282.4602942294
0.0,258475,21.821091641,5640206.6619074745
0.0,227138,21.821091641,4956399.113153458
0.0,257484,21.821091641,5618581.9600912435
0.1,205260,21.821091641,4478997.2702316595
0.02861944,216410,21.821091641,4722302.442028809
0.41748939600238066,185997,21.821091641,4058657.5819510766
0.03870628931204858,199036,21.821091641,4343182.795858076
0.013,183892,21.821091641,4012724.184046772
0.0,195541,21.821091641,4266918.080572781
0.17388268178557018,186003,21.821091641,4058788.508500923
0.195,168916,21.821091641,3685931.515631156
0.021,183669,21.821091641,4007858.080610829
0.0,189700,27.6,5235720.0
0.03403750022537963,149236,21.821091641,3256492.432136276
0.0,83546,32.857577724,2745119.188529304
0.0,56654,24.721091641,1400548.725829214
0.0,56652,24.721091641,1400499.283645932
0.0,56652,24.721091641,1400499.283645932
0.0,56652,24.721091641,1400499.283645932
0.0,56652,24.721091641,1400499.283645932
0.001021559,70000,32.0,2240000.0
0.0,99226,21.821091641,2165219.6391698658
0.0,104539,21.821091641,2281155.099058499
0.0,94813,21.821091641,2068923.161758133
0.0,120000,26.286062179,3154327.46148
0.0,39617,22.021091641,872409.5875414971
0.196,319354,23.26858353,7430915.224639621
0.0,76242,21.821091641,1663683.6688931219
0.045,21000,21.771091641,457192.924461
0.0,200000,23.721091641,4744218.3282
0.0,200000,23.721091641,4744218.3282
0.0,55729,21.821091641,1216067.6160612889
